feature,missing_rate,mean,std,target_separation_q75_minus_q25,pearson_corr,candidate_name,valid_year
rf_prev5_minus_career,0.011086447408614194,-0.015221986079249433,0.06409909855430006,0.031457195047853936,0.022863129166601583,A_B_recent_combo,2023
rf_prev1_minus_prev5,0.011086447408614194,-0.004360249076823599,0.1148862995814001,0.013455112283941584,0.010585241458356872,A_B_recent_combo,2023
rf_prev3_minus_prev5,0.011086447408614194,-0.0014401008224774828,0.04484597466505421,0.00579794990478294,0.005030016607743042,A_B_recent_combo,2023
rf_recent_mean_minus_career,0.011086447408614194,-0.017155436045683127,0.07721804741463147,0.03200935734172422,0.025202196132820685,A_B_recent_combo,2023
rf_recent_range,0.011086447408614194,0.09410550854643478,0.0800125123920136,-0.016883173398126672,-0.01343164732797509,A_B_recent_combo,2023
rf_recent_std,0.011086447408614194,0.04992150967976676,0.043138935098694306,-0.017792707648111084,-0.013283483124343562,A_B_recent_combo,2023
rf_short_vs_medium,0.011086447408614194,-0.002920148254346116,0.10430328067954182,0.013245998912268409,0.00949656825286113,A_B_recent_combo,2023
rf_medium_vs_long,0.011086447408614194,-0.0014401008224774828,0.04484597466505421,0.00579794990478294,0.005030016607743042,A_B_recent_combo,2023
rf_recent_trend,0.011086447408614194,-0.017834140864404477,0.08819776474772986,0.03227294443254647,0.024277581021514734,A_B_recent_combo,2023
rf_prev1_minus_career,0.01435068854114482,-0.02376326658929279,0.12283502137629192,0.021611064865211027,0.014433536096633821,A_B_recent_combo,2024
rf_prev3_minus_career,0.01435068854114482,-0.022700776654967204,0.07157725762311988,0.02284369597233782,0.01737262271118261,A_B_recent_combo,2024
rf_prev5_minus_career,0.01435068854114482,-0.021331270581784856,0.057874413864702046,0.02279567138374844,0.01982091077421141,A_B_recent_combo,2024
rf_prev1_minus_prev5,0.01435068854114482,-0.0024319960075079344,0.10972276779940493,0.004726214290379671,0.005703648697484348,A_B_recent_combo,2024
rf_prev3_minus_prev5,0.01435068854114482,-0.0013695060731823473,0.04260016633367728,0.0015445485089972677,0.0022619887751319716,A_B_recent_combo,2024
rf_recent_mean_minus_career,0.01435068854114482,-0.022598437942014948,0.07197269572684978,0.025181041244421776,0.01928301632365611,A_B_recent_combo,2024
