candidate_name,valid_year,tm_has_match,n,actual_rate,brier,auc,prediction_std,base_auc,base_brier,delta_auc_vs_base,delta_brier_vs_base
F_RELIABILITY,2023,1,87458,0.5002972855542088,0.2504313894012467,0.5201231035725029,0.0153324468300276,0.5211592908640109,0.2504097739918813,-0.0010361872915080061,2.161540936540529e-05
F_RELIABILITY,2024,0,153989,0.4881712330101501,0.2498908028260999,0.5033497161418415,0.0055439904940215,0.5032135324376336,0.249895726847919,0.00013618370420798165,-4.924021819091573e-06
F_RELIABILITY,2024,1,99518,0.4829076147028678,0.2495834971206933,0.5215686279584083,0.0054501513353206,0.5207690956954673,0.2495856405137162,0.0007995322629410495,-2.143393022902007e-06
G_RELEASE_CORE,2022,0,177333,0.5289088889264829,0.2490072613443547,0.5285660872179617,0.0103328350056648,0.5305983279960681,0.2489727115093668,-0.0020322407781063756,3.4549834987879224e-05
G_RELEASE_CORE,2022,1,70139,0.5289496571094541,0.2489213542183724,0.5344410126593019,0.011439866702107,0.5364247700728428,0.2488592622559562,-0.001983757413540954,6.209196241618864e-05
G_RELEASE_CORE,2023,0,158067,0.4997690852613132,0.2506730215545063,0.5108514324862443,0.0138136704159168,0.5118187017454877,0.2506555900162356,-0.0009672692592433974,1.7431538270717972e-05
G_RELEASE_CORE,2023,1,87458,0.5002972855542088,0.2504063560691618,0.521465042316822,0.0152845212409173,0.5211592908640109,0.2504097739918813,0.0003057514528110872,-3.4179227195174633e-06
G_RELEASE_CORE,2024,0,153989,0.4881712330101501,0.249890158285032,0.5034525735180756,0.0054779943189808,0.5032135324376336,0.249895726847919,0.0002390410804420373,-5.568562886998363e-06
G_RELEASE_CORE,2024,1,99518,0.4829076147028678,0.2495872038028833,0.5210372455766098,0.0054181253012863,0.5207690956954673,0.2495856405137162,0.0002681498811425431,1.5632891670891436e-06
H_MOVEMENT_CORE,2022,0,177333,0.5289088889264829,0.2489895493081543,0.5296833558828927,0.0103649394515271,0.5305983279960681,0.2489727115093668,-0.0009149721131753719,1.6837798787500136e-05
H_MOVEMENT_CORE,2022,1,70139,0.5289496571094541,0.2489216955388206,0.5337214134500361,0.0115635085590592,0.5364247700728428,0.2488592622559562,-0.0027033566228067407,6.24332828643992e-05
H_MOVEMENT_CORE,2023,0,158067,0.4997690852613132,0.2506915585279646,0.5098045618511584,0.0137060204360028,0.5118187017454877,0.2506555900162356,-0.002014139894329303,3.596851172898985e-05
H_MOVEMENT_CORE,2023,1,87458,0.5002972855542088,0.250418572447753,0.5211541711729688,0.0153392321146454,0.5211592908640109,0.2504097739918813,-5.119691042110297e-06,8.798455871705801e-06
H_MOVEMENT_CORE,2024,0,153989,0.4881712330101501,0.2498843607024943,0.5043325608682993,0.0055392234043397,0.5032135324376336,0.249895726847919,0.0011190284306656917,-1.1366145424684948e-05
H_MOVEMENT_CORE,2024,1,99518,0.4829076147028678,0.2495801871993753,0.5217282709726783,0.0055290097366361,0.5207690956954673,0.2495856405137162,0.0009591752772110107,-5.453314340903015e-06
I_RELEASE_PLUS_RELIABILITY,2022,0,177333,0.5289088889264829,0.2490229903500911,0.5277949115713357,0.0103172884197755,0.5305983279960681,0.2489727115093668,-0.0028034164247323634,5.027884072428268e-05
I_RELEASE_PLUS_RELIABILITY,2022,1,70139,0.5289496571094541,0.2489398214230377,0.532943043135577,0.0114370642631163,0.5364247700728428,0.2488592622559562,-0.0034817269372657833,8.055916708149535e-05
I_RELEASE_PLUS_RELIABILITY,2023,0,158067,0.4997690852613132,0.250668315910217,0.5113023185709487,0.0137462718874794,0.5118187017454877,0.2506555900162356,-0.000516383174539059,1.2725893981380132e-05
I_RELEASE_PLUS_RELIABILITY,2023,1,87458,0.5002972855542088,0.2504133525077205,0.5211520652489824,0.0153836885926427,0.5211592908640109,0.2504097739918813,-7.225615028527699e-06,3.5785158392087624e-06
I_RELEASE_PLUS_RELIABILITY,2024,0,153989,0.4881712330101501,0.2498935688285359,0.5033494757976025,0.0055371076611884,0.5032135324376336,0.249895726847919,0.00013594335996891527,-2.158019383108334e-06
I_RELEASE_PLUS_RELIABILITY,2024,1,99518,0.4829076147028678,0.2495722247999044,0.5221427825737255,0.0055718050366812,0.5207690956954673,0.2495856405137162,0.001373686878258229,-1.3415713811804064e-05
K_STABLE_TOP10,2022,0,177333,0.5289088889264829,0.2489640046196599,0.5312610469959953,0.0105320571798496,0.5305983279960681,0.2489727115093668,0.0006627189999272032,-8.706889706916465e-06
K_STABLE_TOP10,2022,1,70139,0.5289496571094541,0.2488877344489378,0.535267337408726,0.0118154908942176,0.5364247700728428,0.2488592622559562,-0.0011574326641168309,2.8472192981604527e-05
K_STABLE_TOP10,2023,0,158067,0.4997690852613132,0.2507296071539827,0.5089949840471695,0.0138002230777126,0.5118187017454877,0.2506555900162356,-0.00282371769831824,7.40171377470733e-05
K_STABLE_TOP10,2023,1,87458,0.5002972855542088,0.2504165952314683,0.5203112527412539,0.015265108398102,0.5211592908640109,0.2504097739918813,-0.0008480381227570222,6.8212395870070885e-06
K_STABLE_TOP10,2024,0,153989,0.4881712330101501,0.2498804288053588,0.504885763684422,0.0056399448232493,0.5032135324376336,0.249895726847919,0.0016722312467883915,-1.5298042560202285e-05
K_STABLE_TOP10,2024,1,99518,0.4829076147028678,0.2495791689077409,0.5214305686901808,0.0055966231718553,0.5207690956954673,0.2495856405137162,0.00066147299471353,-6.4716059753056054e-06
J_BEST_COMBINATION,2022,0,177333,0.5289088889264829,0.2489563079818172,0.5312880695071046,0.0106040886450133,0.5305983279960681,0.2489727115093668,0.0006897415110365124,-1.6403527549613273e-05
J_BEST_COMBINATION,2022,1,70139,0.5289496571094541,0.2488632677858197,0.5359408806173607,0.0119045117748154,0.5364247700728428,0.2488592622559562,-0.0004838894554821671,4.005529863487789e-06
J_BEST_COMBINATION,2023,0,158067,0.4997690852613132,0.2506910883806905,0.5103124818457316,0.0138018797178956,0.5118187017454877,0.2506555900162356,-0.0015062198997560783,3.549836445487786e-05
J_BEST_COMBINATION,2023,1,87458,0.5002972855542088,0.2504064518829781,0.5209852639890896,0.0152746503071442,0.5211592908640109,0.2504097739918813,-0.00017402687492129587,-3.322108903192067e-06
J_BEST_COMBINATION,2024,0,153989,0.4881712330101501,0.2498853536181566,0.5041554974614275,0.0054807343981385,0.5032135324376336,0.249895726847919,0.0009419650237939559,-1.0373229762383751e-05
J_BEST_COMBINATION,2024,1,99518,0.4829076147028678,0.2495894130710329,0.5208065797535065,0.0054409984954734,0.5207690956954673,0.2495856405137162,3.748405803927213e-05,3.7725573167057824e-06
