method,prior_name,weight,mean_brier,std_brier,mean_logloss,mean_bias,folds
prior,linear_all_history,1.0,0.24982569076224326,0.0003508136009130435,0.6927985378855057,0.00043183670857656803,3
blend,linear_recent_2y,0.6,0.2498262090439374,0.0008903569504746139,0.6928026530273569,0.009803187664414792,3
blend,recency_weighted_linear,0.5,0.2498354739260528,0.000950182243790976,0.6928237406203385,0.010969203865510221,3
blend,linear_recent_2y,0.8,0.2498358099325669,0.0006881023360756278,0.692819235359385,0.007218631242143003,3
blend,recency_weighted_linear,1.0,0.24984049391452298,0.0006125381004528346,0.6928282481361926,0.004381550799790412,3
prior,recency_weighted_linear,1.0,0.24984049391452298,0.0006125381004528346,0.6928282481361926,0.004381550799790412,3
blend,linear_recent_2y,0.85,0.24985429854887342,0.0007519885967935076,0.6928560567422348,0.006572492136575014,3
blend,linear_recent_2y,0.5,0.24986002074558064,0.000982400571073101,0.6928733898348005,0.011095465875550659,3
blend,linear_all_history,0.4,0.24986118221547224,0.0009813506847443554,0.6928783455830568,0.01070684884216864,3
blend,linear_recent_3y,0.65,0.24986995837744294,0.0008773614555060648,0.69288986482283,0.008724423097567083,3
blend,linear_recent_3y,0.7,0.24987190730973718,0.0008355919105346441,0.6928929773000382,0.008045005110362213,3
blend,linear_recent_3y,0.6,0.24987427953806915,0.000922705774979595,0.6928995562075834,0.0094038410847719,3
blend,linear_recent_2y,0.9,0.24987922252283956,0.0007397137915117258,0.6929058905611215,0.005926353031007174,3
blend,linear_recent_3y,0.75,0.24988012633495185,0.0007133365627591915,0.6929088475300075,0.007365587123157362,3
blend,linear_recent_3y,0.8,0.24989461545308692,0.0006828157756626791,0.6929374365691707,0.006686169135952547,3
blend,linear_recent_3y,0.5,0.24990173213808275,0.0010239136682147637,0.692957572420963,0.010762677059181602,3
blend,recency_weighted_linear,0.4,0.249904639541454,0.001071041195447306,0.6929668680067339,0.012286734478654193,3
blend,linear_recent_3y,0.85,0.24991537466414246,0.0007335388458521925,0.692978712420926,0.006006751148747695,3
blend,linear_recent_2y,0.4,0.24991957387786248,0.0010956025557094483,0.6929974590080742,0.012387744086686562,3
blend,prev_year_rate,0.7,0.24992005899991176,0.0008965250316043293,0.6929891171219795,0.016153617384258506,3
blend,prev_year_rate,0.75,0.24992187820451636,0.0007813873782598082,0.6929921521767692,0.016053385988046065,3
blend,prev_year_rate,0.65,0.2499231979912874,0.0009240895395087066,0.6929962327698687,0.016253848780470686,3
blend,prev_year_rate,0.8,0.24992865560510116,0.0007650486852453789,0.6930053015915707,0.015953154591833846,3
blend,prev_year_rate,0.6,0.2499312951786434,0.0009563745428588584,0.6930135421571867,0.01635408017668294,3
blend,prev_year_rate,0.85,0.24994039120166633,0.0008417601114268215,0.6930285355063971,0.015852923195621555,3
blend,linear_recent_3y,0.9,0.24994240396811837,0.0007083332296063464,0.6930326498531212,0.0053273331615428425,3
blend,linear_recent_2y,1.0,0.2499483765437509,0.0007300717402392901,0.6930445340539487,0.0046340748198713255,3
prior,linear_recent_2y,1.0,0.2499483765437509,0.0007300717402392901,0.6930445340539487,0.0046340748198713255,3
blend,linear_recent_3y,0.4,0.24995426510977806,0.0011393099906592092,0.6930675490724822,0.012121513033591269,3
blend,prev_year_rate,0.9,0.24995708499421174,0.0008329408999807271,0.6930618303675691,0.015752691799409396,3
blend,linear_all_history,0.3,0.24995991002526688,0.0011430640957891035,0.6930829654847415,0.012419350864433984,3
blend,prev_year_rate,0.5,0.24996236414129613,0.001035533985827326,0.6930789493082444,0.01655454296910741,3
blend,prev_year_rate,0.58,0.24997518593865115,,0.6930975694085495,0.013999644083752594,1
blend,prev_year_rate,0.62,0.24997527645533485,,0.6930977450691604,0.01398561267747006,1
blend,prev_year_rate,0.56,0.24997531118410568,,0.6930978231912954,0.014006659786893694,1
blend,prev_year_rate,0.64,0.24997549221747303,,0.6930981744415629,0.01397859697432885,1
blend,prev_year_rate,0.54,0.24997555009875783,,0.6930983047661283,0.014013675490035016,1
blend,prev_year_rate,0.66,0.2499758216488088,,0.6930988314641396,0.013971581271187528,1
blend,prev_year_rate,0.52,0.24997590268260753,,0.6930990141726516,0.014020691193176338,1
blend,prev_year_rate,0.68,0.24997626474934215,,0.6930997161055312,0.013964565568046206,1
blend,linear_all_history,0.92,0.24999159671784038,0.00021595454992279258,0.6931304416474442,0.010414945180517249,2
blend,linear_all_history,0.88,0.24999211321910564,0.00021588107136901802,0.6931315396792883,0.010936605607644173,2
blend,linear_all_history,0.94,0.24999308305033835,0.00021809586677061014,0.693133397561362,0.010154114966953814,2
blend,linear_all_history,0.86,0.24999411605286878,0.00021794890966299235,0.6931355976415868,0.011197435821207635,2
blend,linear_all_history,0.96,0.24999573243825662,0.00022164023533231903,0.6931386878893855,0.009893284753390325,2
blend,recency_weighted_linear,0.3,0.24999719502788698,0.0012114490828872475,0.6931593526991543,0.013604265091798129,3
blend,linear_all_history,0.84,0.24999728194205229,0.00022141979967082862,0.6931419980548299,0.011458266034771014,2
blend,linear_all_history,0.98,0.24999954488159531,0.0002265876556079488,0.6931463113287095,0.00963245453982689,2
blend,linear_all_history,0.82,0.2500016108866561,0.00022629374139262494,0.6931507436440545,0.011719096248334504,2
blend,linear_recent_2y,0.3,0.25000486844078296,0.0012299196726893872,0.693175516671983,0.01368002229782241,3
blend,prev_year_rate,1.0,0.2500053471672434,0.00083027086360438,0.6931585394118075,0.015552229006984719,3
prior,prev_year_rate,1.0,0.2500053471672434,0.00083027086360438,0.6931585394118075,0.015552229006984719,3
blend,prev_year_rate,0.4,0.25001326588786993,0.0011350641237620604,0.6931858273389798,0.016755005761531955,3
