candidate_name,valid_year,sample_bucket,n,v2_brier,candidate_brier,delta_brier_candidate_minus_v2,candidate_auc,skill_contribution
C_PITCHER_GAME_logitblend300,2024,lt25,50641,0.2499400197868153,0.24992585327136496,-1.4166515450331207e-05,0.49609175554728197,1.416651545034397e-05
C_PITCHER_GAME_logitblend300,2024,25_49,2431,0.24868874932707527,0.24835603298440606,-0.00033271634266920924,0.5236063256898605,0.0003327163426692206
C_PITCHER_GAME_logitblend300,2024,50_99,1477,0.24958630009398672,0.2492708663536859,-0.0003154337403008245,0.47591803611280176,0.00031543374030081436
C_PITCHER_GAME_logitblend300,2024,100_299,7873,0.24927542844933465,0.2490677276027669,-0.00020770084656773768,0.49696289334107135,0.00020770084656772345
C_PITCHER_GAME_logitblend300,2024,300_plus,191085,0.24976579820064135,0.24965580891743527,-0.00010998928320607448,0.5256645308400448,0.00010998928320609283
C_PITCHER_GAME_probblend100,2022,lt25,39705,0.24902066663025166,0.2490270660889186,6.399458666955793e-06,0.5061663162755654,-6.399458666968498e-06
C_PITCHER_GAME_probblend100,2022,25_49,3556,0.24784378857477884,0.24765663783587386,-0.0001871507389049898,0.5488169004988253,0.00018715073890501462
C_PITCHER_GAME_probblend100,2022,50_99,4551,0.24950565603570307,0.24919549471638427,-0.00031016131931879687,0.5480398352019973,0.00031016131931877134
C_PITCHER_GAME_probblend100,2022,100_299,9770,0.2480622186884651,0.24671223729850542,-0.0013499813899596758,0.5503917647382747,0.0013499813899596814
C_PITCHER_GAME_probblend100,2022,300_plus,189890,0.2489759937202076,0.24855448988949222,-0.0004215038307153751,0.5579945973444307,0.000421503830715374
C_PITCHER_GAME_probblend100,2023,lt25,34667,0.2511504919824166,0.2511022938495644,-4.8198132852228515e-05,0.4938933128371333,4.819813285223087e-05
C_PITCHER_GAME_probblend100,2023,25_49,589,0.255573193999102,0.25554724563056547,-2.5948368536532485e-05,0.47673573672120384,2.5948368536558404e-05
C_PITCHER_GAME_probblend100,2023,50_99,2866,0.2534688991638495,0.25388206053744894,0.0004131613735994244,0.4916088676681897,-0.00041316137359941816
C_PITCHER_GAME_probblend100,2023,100_299,7740,0.2525320145298994,0.2521130439194721,-0.0004189706104272828,0.5207910577374182,0.0004189706104273207
C_PITCHER_GAME_probblend100,2023,300_plus,199663,0.25033435732505954,0.2501445612122993,-0.00018979611276026542,0.5260519647832246,0.0001897961127602281
C_PITCHER_GAME_probblend100,2024,lt25,50641,0.2499400197868153,0.24992692069712283,-1.3099089692464316e-05,0.496118921522217,1.3099089692445397e-05
C_PITCHER_GAME_probblend100,2024,25_49,2431,0.24868874932707527,0.24844330261646846,-0.0002454467106068059,0.5252738166616472,0.0002454467106068481
