alpha,feature_set,train_start,train_end,cal_year,valid_year,stage,trend_prior,train_seconds,brier,logloss,auc,pred_mean,pred_std,actual_rate,baseline_brier,improvement_vs_catboost_baseline,experiment
20,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,14.632299184799194,0.2547143294641239,0.7030644753533347,0.5109875549834433,0.5435839138831999,0.0628463883259639,0.4999572344975053,0.2501588034603313,-0.0045555260037925,ablation_alpha20
20,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,14.632299184799194,0.2537961684359838,0.7010975062972779,0.5109875549834433,0.5342144788121622,0.0610209636894239,0.4999572344975053,0.2501588034603313,-0.0036373649756524,ablation_alpha20
20,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,14.632299184799194,0.2502931454649412,0.6937363632536359,0.5109875549834433,0.5182783030093937,0.0152552409223559,0.4999572344975053,0.2501588034603313,-0.0001343420046098,ablation_alpha20
20,combo_with_pitcher_batter,2019,2021,2022,2023,raw,0.5129662444084708,13.983022928237917,0.254745264853876,0.7031478365078357,0.510703327872059,0.5414763179615663,0.0642753636426234,0.4999572344975053,0.2501588034603313,-0.0045864613935446,ablation_alpha20
20,combo_with_pitcher_batter,2019,2021,2022,2023,platt,0.5129662444084708,13.983022928237917,0.2538056292012533,0.7011242743665899,0.510703327872059,0.5321536218962704,0.061911826284367,0.4999572344975053,0.2501588034603313,-0.0036468257409219,ablation_alpha20
20,combo_with_pitcher_batter,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,13.983022928237917,0.2502906011161589,0.6937313720909829,0.510703327872059,0.5177630887804208,0.0154779565710917,0.4999572344975053,0.2501588034603313,-0.0001317976558275,ablation_alpha20
20,baseline,2019,2022,2023,2024,raw,0.4980616077305448,16.489432334899902,0.2555164325408653,0.7049407319137688,0.5106875170195614,0.5332785480993348,0.0656810321975094,0.4861049201797189,0.2499335526157567,-0.0055828799251085,ablation_alpha20
20,baseline,2019,2022,2023,2024,platt,0.4980616077305448,16.489432334899902,0.2500138247696704,0.6931755822046753,0.5106875170195614,0.49999525244929,0.0129860166922077,0.4861049201797189,0.2499335526157567,-8.027215391359643e-05,ablation_alpha20
20,baseline,2019,2022,2023,2024,platt_plus_trend_w075,0.4980616077305448,16.489432334899902,0.2499335526157567,0.6930142822922214,0.5106875170195614,0.4985450189102312,0.0032465041730519,0.4861049201797189,0.2499335526157567,0.0,ablation_alpha20
20,pitcher_abs,2019,2022,2023,2024,raw,0.4980616077305448,17.01375436782837,0.2555337228565037,0.7049645968249942,0.5113674608409309,0.535034020266204,0.0650803810947949,0.4861049201797189,0.2499335526157567,-0.0056001702407469,ablation_alpha20
20,pitcher_abs,2019,2022,2023,2024,platt,0.4980616077305448,17.01375436782837,0.2499957458994025,0.6931393512128217,0.5113674608409309,0.5000383042633957,0.0127078789207144,0.4861049201797189,0.2499335526157567,-6.219328364576171e-05,ablation_alpha20
20,pitcher_abs,2019,2022,2023,2024,platt_plus_trend_w075,0.4980616077305448,17.01375436782837,0.2499303412911114,0.6930078596031392,0.5113674608409309,0.4985557818637575,0.0031769697301786,0.4861049201797189,0.2499335526157567,3.2113246453413517e-06,ablation_alpha20
20,pitcher_rel,2019,2022,2023,2024,raw,0.4980616077305448,17.02803087234497,0.2555227826524426,0.704958953709084,0.5113193272299846,0.5341319372036163,0.0655396959700819,0.4861049201797189,0.2499335526157567,-0.0055892300366858,ablation_alpha20
20,pitcher_rel,2019,2022,2023,2024,platt,0.4980616077305448,17.02803087234497,0.2500018629578077,0.6931516375601552,0.5113193272299846,0.5000054305906136,0.0128833467613362,0.4861049201797189,0.2499335526157567,-6.831034205095898e-05,ablation_alpha20
