feature,importance,alpha,feature_set,valid_year,experiment
te_pitcher_hand__batter_hand_delta,0.0470033153765567,20,combo_core,2023,alpha_grid
te_base_state__outs_before,0.2344031826710574,20,combo_core,2023,alpha_grid
te_base_state__outs_before_delta,0.117947210565438,20,combo_core,2023,alpha_grid
asof_pitcher_success_minus_global,0.0266115249239224,20,combo_core,2023,alpha_grid
asof_batter_success_minus_global,0.2433961052563283,20,combo_core,2023,alpha_grid
pitcher_success_x_two_strike,0.0271516359227334,20,combo_core,2023,alpha_grid
pitcher_success_x_runner_on,0.011706049475676,20,combo_core,2023,alpha_grid
pitcher_fastball_x_hitter_count,0.0660605364608735,20,combo_core,2023,alpha_grid
season,2.809665746768223,20,combo_core,2024,alpha_grid
game_month,1.0066877066450042,20,combo_core,2024,alpha_grid
game_dayofweek,0.0205087819413014,20,combo_core,2024,alpha_grid
inning,0.1085985339886315,20,combo_core,2024,alpha_grid
balls_before,0.3125641365718064,20,combo_core,2024,alpha_grid
strikes_before,0.0160662440496977,20,combo_core,2024,alpha_grid
outs_before,0.0,20,combo_core,2024,alpha_grid
run_top_before,0.0,20,combo_core,2024,alpha_grid
run_bot_before,0.0236450378477217,20,combo_core,2024,alpha_grid
run_total_before,0.1637122899932527,20,combo_core,2024,alpha_grid
score_diff_home,0.0,20,combo_core,2024,alpha_grid
score_diff_pitcher_team,0.0385071413688126,20,combo_core,2024,alpha_grid
runner_on_1b,0.0,20,combo_core,2024,alpha_grid
runner_on_2b,0.0,20,combo_core,2024,alpha_grid
runner_on_3b,0.6233985607503498,20,combo_core,2024,alpha_grid
num_runners_on,0.0,20,combo_core,2024,alpha_grid
home_win_expectancy,0.0402676073469012,20,combo_core,2024,alpha_grid
away_win_expectancy,0.0236989146682438,20,combo_core,2024,alpha_grid
li,0.2235942020648273,20,combo_core,2024,alpha_grid
pitcher_hand,0.0114915482755473,20,combo_core,2024,alpha_grid
batter_hand,0.0,20,combo_core,2024,alpha_grid
pitcher_team_id,0.1093608337294558,20,combo_core,2024,alpha_grid
batter_team_id,0.1150398934775219,20,combo_core,2024,alpha_grid
asof_pitcher_n,0.084707202679821,20,combo_core,2024,alpha_grid
asof_pitcher_success_rate,0.0171473129619163,20,combo_core,2024,alpha_grid
asof_pitcher_reverse_rate,0.1412224008792602,20,combo_core,2024,alpha_grid
asof_pitcher_middle_rate,0.0667465939976383,20,combo_core,2024,alpha_grid
asof_pitcher_ball_rate,0.1561156886366205,20,combo_core,2024,alpha_grid
asof_pitcher_strike_rate,0.2188267881067973,20,combo_core,2024,alpha_grid
asof_pitcher_prev1_game_success_rate,0.3630205310945066,20,combo_core,2024,alpha_grid
asof_pitcher_prev3_game_success_rate,0.098294125488132,20,combo_core,2024,alpha_grid
asof_pitcher_prev5_game_success_rate,0.0,20,combo_core,2024,alpha_grid
asof_pitcher_prev1_game_middle_rate,0.0405288888786061,20,combo_core,2024,alpha_grid
asof_pitcher_prev3_game_middle_rate,0.0578644785461073,20,combo_core,2024,alpha_grid
asof_pitcher_prev5_game_middle_rate,0.0505542024796927,20,combo_core,2024,alpha_grid
asof_batter_n,0.0583320998862501,20,combo_core,2024,alpha_grid
asof_batter_success_rate,0.1470686963216231,20,combo_core,2024,alpha_grid
asof_batter_middle_rate,0.0328752094206304,20,combo_core,2024,alpha_grid
asof_pitcher_pitchmix_n,0.2521268135216576,20,combo_core,2024,alpha_grid
asof_pitcher_fastball_rate,0.1131487510363604,20,combo_core,2024,alpha_grid
asof_pitcher_breaking_rate,0.0,20,combo_core,2024,alpha_grid
asof_pitcher_offspeed_rate,0.0261034348596146,20,combo_core,2024,alpha_grid
hs_batter_logit_rel,0.0968266799953937,20,combo_core,2024,alpha_grid
hs_batter_n,0.0719258139319641,20,combo_core,2024,alpha_grid
hs_batter_rate,0.1368096660872157,20,combo_core,2024,alpha_grid
hs_batter_rel,0.1827919209467111,20,combo_core,2024,alpha_grid
hs_pitcher_batter_hand_logit_rel,0.3144878676157604,20,combo_core,2024,alpha_grid
hs_pitcher_batter_hand_n,0.0274321058323114,20,combo_core,2024,alpha_grid
hs_pitcher_batter_hand_rate,0.5602937858779933,20,combo_core,2024,alpha_grid
hs_pitcher_batter_hand_rel,0.244387861185454,20,combo_core,2024,alpha_grid
hs_pitcher_count_logit_rel,3.224778688173122,20,combo_core,2024,alpha_grid
hs_pitcher_count_n,0.8587149699846254,20,combo_core,2024,alpha_grid
hs_pitcher_count_rate,2.513310210547904,20,combo_core,2024,alpha_grid
hs_pitcher_count_rel,3.1933970566579446,20,combo_core,2024,alpha_grid
hs_pitcher_game_type_logit_rel,1.5065487479445463,20,combo_core,2024,alpha_grid
hs_pitcher_game_type_n,0.2450348790611524,20,combo_core,2024,alpha_grid
hs_pitcher_game_type_rate,0.5049079652443113,20,combo_core,2024,alpha_grid
hs_pitcher_game_type_rel,0.1825939758129138,20,combo_core,2024,alpha_grid
hs_pitcher_logit_rel,0.0,20,combo_core,2024,alpha_grid
hs_pitcher_n,0.2338196708922256,20,combo_core,2024,alpha_grid
hs_pitcher_rate,0.0107082945644326,20,combo_core,2024,alpha_grid
hs_pitcher_rel,0.0624403178023271,20,combo_core,2024,alpha_grid
top_bottom_code,0.0,20,combo_core,2024,alpha_grid
game_type_code,2.326577961924837,20,combo_core,2024,alpha_grid
base_state_code,0.3940978305289674,20,combo_core,2024,alpha_grid
pitcher_id_code,0.1400995807951488,20,combo_core,2024,alpha_grid
batter_id_code,0.0165690653500553,20,combo_core,2024,alpha_grid
count_index,0.1121060469970746,20,combo_core,2024,alpha_grid
two_strike,0.0248212969035302,20,combo_core,2024,alpha_grid
three_ball,0.0557259716893991,20,combo_core,2024,alpha_grid
full_count,0.0,20,combo_core,2024,alpha_grid
pitcher_count,0.0154057672735599,20,combo_core,2024,alpha_grid
hitter_count,0.0876502290956047,20,combo_core,2024,alpha_grid
even_count,0.0,20,combo_core,2024,alpha_grid
runner_on,0.0,20,combo_core,2024,alpha_grid
scoring_position,0.4365605283852904,20,combo_core,2024,alpha_grid
abs_score_diff_pitcher_team,0.0882050097945654,20,combo_core,2024,alpha_grid
pitcher_team_leading,0.0,20,combo_core,2024,alpha_grid
