candidate_name,prediction_mode,valid_year,deviation_bucket,n,actual_rate,prediction_mean,brier,baseline_brier,skill_gain_vs_baseline
A_ORIGINAL,v2_strength,2022,010_020,67154,0.5257021175209221,0.5117621487288827,0.248873947847131,0.24954187733568453,0.0006679294885535425
A_ORIGINAL,v2_strength,2022,020_040,29068,0.5324411724232834,0.5098805761966958,0.24671507434290046,0.24938724695796255,0.002672172615062085
A_ORIGINAL,v2_strength,2023,0_005,56905,0.5047886828925402,0.5279783864030358,0.25049746680130985,0.2505007755464057,3.308745095853549e-06
A_ORIGINAL,v2_strength,2023,005_010,43214,0.5030777062988846,0.5275433412305545,0.25063031651350465,0.2505954723829891,-3.4844130515521154e-05
A_ORIGINAL,v2_strength,2023,010_020,61486,0.5034154116384217,0.5269462735284431,0.2504513131270768,0.25057678152101587,0.0001254683939390655
A_ORIGINAL,v2_strength,2023,020_040,83920,0.4925405147759771,0.5266499734841584,0.25066931453531593,0.25117867071977135,0.0005093561844554118
A_ORIGINAL,v2_strength,2024,0_005,181535,0.4910347866802545,0.4874069595345273,0.24991110501122302,0.24993046702741006,1.9362016187046693e-05
A_ORIGINAL,v2_strength,2024,005_010,51143,0.47852100971784994,0.4856676438034095,0.24937599361030946,0.2496236806655477,0.0002476870552382271
A_ORIGINAL,v2_strength,2024,010_020,19735,0.46070433240435776,0.49504111960016406,0.2495171296644203,0.24918688898946906,-0.0003302406749512432
A_ORIGINAL,v2_strength,2024,020_040,1094,0.48080438756855576,0.507120483492457,0.25026271560919355,0.2496796597025466,-0.000583055906646951
D_BASELINE_PLUS_MODEL_DEVIATION,native,2022,0_005,19211,0.5359429493519338,0.5115860144102244,0.2493079025842215,0.2493068972506193,-1.0053336021997872e-06
D_BASELINE_PLUS_MODEL_DEVIATION,native,2022,005_010,19347,0.5295394634827105,0.5122148063048194,0.2495067429259177,0.24945382785929382,-5.291506662388756e-05
D_BASELINE_PLUS_MODEL_DEVIATION,native,2022,010_020,38933,0.5270079367117869,0.5143279181320476,0.2494494827229158,0.24951191477896917,6.243205605335755e-05
D_BASELINE_PLUS_MODEL_DEVIATION,native,2022,020_040,59816,0.5279858231911194,0.5167372472002466,0.24972411447446508,0.24948947677277108,-0.00023463770169399045
D_BASELINE_PLUS_MODEL_DEVIATION,native,2022,040_plus,110165,0.5287704806426724,0.51692351551608,0.24830576649061623,0.24947147248583856,0.001165705995222338
