stage,config_name,valid_year,feature_seconds,train_seconds,inference_seconds,rows_train,rows_cal,rows_valid
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_3,2024,23.438973426818848,23.6610164642334,0.08038330078125,976060,245525,253507
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_4,2022,13.608336687088013,16.30031156539917,0.07630705833435059,481500,247088,247472
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_4,2023,18.617401361465454,23.33814811706543,0.0805356502532959,728588,247472,245525
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_4,2024,23.438973426818848,30.273058891296387,0.08474898338317871,976060,245525,253507
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_5,2022,13.608336687088013,18.681991577148438,0.07888579368591309,481500,247088,247472
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_5,2023,18.617401361465454,26.757429838180542,0.07461690902709961,728588,247472,245525
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_5,2024,23.438973426818848,34.086710929870605,0.09039473533630371,976060,245525,253507
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_6,2022,13.608336687088013,19.409302711486816,0.07917475700378418,481500,247088,247472
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_6,2023,18.617401361465454,26.607502222061157,0.09506654739379883,728588,247472,245525
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_6,2024,23.438973426818848,34.579121828079224,0.08481860160827637,976060,245525,253507
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_7,2022,13.608336687088013,15.520907878875732,0.08093857765197754,481500,247088,247472
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_7,2023,18.617401361465454,21.894999504089355,0.08452296257019043,728588,247472,245525
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_7,2024,23.438973426818848,28.387380599975586,0.0794525146484375,976060,245525,253507
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_8,2022,13.608336687088013,20.273078680038452,0.0834798812866211,481500,247088,247472
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_8,2023,18.617401361465454,28.965977668762207,0.11727595329284668,728588,247472,245525
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_8,2024,23.438973426818848,37.50161361694336,0.09820079803466797,976060,245525,253507
stage2,stage2_from_random_strength_2_9,2022,13.608336687088013,14.828678607940674,0.07880401611328125,481500,247088,247472
stage2,stage2_from_random_strength_2_9,2023,18.617401361465454,20.539323806762695,0.09418773651123047,728588,247472,245525
stage2,stage2_from_random_strength_2_9,2024,23.438973426818848,26.40908408164978,0.0831599235534668,976060,245525,253507
stage2,stage2_from_random_strength_2_10,2022,13.608336687088013,14.655763387680054,0.08249807357788086,481500,247088,247472
stage2,stage2_from_random_strength_2_10,2023,18.617401361465454,20.805341720581055,0.07602691650390625,728588,247472,245525
stage2,stage2_from_random_strength_2_10,2024,23.438973426818848,26.43743109703064,0.10545778274536133,976060,245525,253507
