group_name,space,lambda,mean_brier,std_brier,max_brier,mean_delta_vs_current,max_delta_vs_current,min_delta_vs_current,folds_improved
game_type,prob,500,0.24990100036170346,0.005265820035354962,0.2552848006861368,0.0001765372034354303,0.005078990356876478,-0.00435987014563019,2
strikes,logit,3000,0.24990632099409704,0.0008403904363813891,0.2507958243101796,0.00018185783582899684,0.0005900139809192906,-4.854027229839186e-05,1
inning_bucket,logit,1000,0.24990655364401979,0.000888477759634192,0.2508622566656606,0.00018209048575175876,0.0006564463364002737,-9.427195491309992e-05,2
strikes,prob,3000,0.24990703589087568,0.0008412351018593225,0.2507976703081545,0.00018257273260762394,0.0005918599788941603,-4.852450413808662e-05,1
inning_bucket,prob,1000,0.24990740746394083,0.0008893635083447969,0.2508643283170485,0.00018294430567281084,0.0006585179877882097,-9.429370655858471e-05,2
game_type,logit,500,0.2499078645549354,0.005275050177334731,0.2553040874597402,0.00018340139666739308,0.005098277130479889,-0.004358575044237506,2
inning_bucket,logit,500,0.2499103931942924,0.0008911683747558141,0.250870152955662,0.0001859300360243695,0.0006643426264016927,-9.407373413278242e-05,2
inning_bucket,prob,500,0.24991126634502367,0.0008920578351654093,0.250872252490655,0.00018680318675562413,0.0006664421613946647,-9.409477101038344e-05,2
inning_bucket,logit,300,0.24991204450586757,0.0008924138942176311,0.2508736349430479,0.00018758134759956172,0.0006678246137875599,-9.398633338808526e-05,2
inning_bucket,prob,300,0.24991292574269722,0.0008933051782063754,0.2508757463813492,0.0001884625844291906,0.0006699360520888709,-9.400707612788883e-05,2
inning_bucket,logit,100,0.24991377950371854,0.000893786961581584,0.2508773566095307,0.00018931634545052423,0.0006715462802703853,-9.389360057890372e-05,2
inning_bucket,logit,50,0.24991422811659206,0.0008941533396069266,0.2508783300859534,0.00018976495832403092,0.0006725197566930796,-9.386951751008676e-05,2
inning_bucket,prob,100,0.24991466911241353,0.0008946803990788209,0.2508794806227976,0.0001902059541454837,0.0006736702935372652,-9.391404461719932e-05,2
inning_bucket,prob,50,0.24991511987301304,0.0008950473834776604,0.2508804573774484,0.00019065671474499668,0.0006746470481880928,-9.388988617708982e-05,2
strikes,logit,1000,0.24991723804428814,0.0008439034527168157,0.250814001813661,0.0001927748860201158,0.0006081914844006664,-4.6972909383102834e-05,1
strikes,prob,1000,0.24991801420991,0.0008447578379804714,0.2508159364922424,0.00019355105164199174,0.0006101261629820609,-4.6952617533291274e-05,1
game_type,prob,300,0.24991899837283235,0.005293254423619756,0.2553385129965914,0.00019453521456428793,0.005132702667331068,-0.004359792029062115,2
strikes,logit,500,0.24992010130946282,0.0008447905948816702,0.2508187169865322,0.00019563815119478614,0.0006129066572718722,-4.654653019720012e-05,1
strikes,prob,500,0.2499208938975103,0.0008456472753015649,0.2508206750129744,0.0001964307392422667,0.0006148646837140781,-4.652500010068894e-05,1
strikes,logit,300,0.24992126232409986,0.0008451464435549228,0.2508206229506596,0.00019679916583182724,0.0006148126213992855,-4.637188712369733e-05,1
batter_side,logit,3000,0.24992189589026495,0.0008580788224483292,0.2508393574681175,0.00019743273199692343,0.0006335471388571601,-5.8833969305699396e-05,1
strikes,prob,300,0.24992206161283512,0.0008460040254558291,0.2508225904551776,0.00019759845456709021,0.0006167801259172601,-4.634984880227955e-05,1
strikes,logit,100,0.24992243245477344,0.0008455028582286307,0.2508225404354253,0.0001979692965053866,0.0006167301061649755,-4.6194861336001924e-05,1
batter_side,prob,3000,0.2499226488740973,0.0008589541831439914,0.2508412819149146,0.00019818571582923736,0.0006354715856543014,-5.8836751030577616e-05,1
strikes,logit,50,0.24992272642290705,0.0008455920502752517,0.2508230216187639,0.00019826326463902774,0.0006172112895035942,-4.615022903090016e-05,1
strikes,prob,100,0.24992323852106835,0.0008463613318372497,0.2508245174988201,0.00019877536280033895,0.0006187071695598068,-4.617230721859489e-05,1
strikes,prob,50,0.24992353419573107,0.0008464507452599711,0.2508250010846153,0.00019907103746303703,0.0006191907553549925,-4.6127544766683126e-05,1
game_type,logit,300,0.24992391940461967,0.005299807391260406,0.255352267086167,0.00019945624635162953,0.00514645675690667,-0.004358787195444802,2
batter_side,logit,1000,0.24992949064952874,0.0008608025462615789,0.2508523484377684,0.00020502749126068606,0.0006465381085080657,-5.8234359674697034e-05,1
batter_side,prob,1000,0.24993028618936108,0.0008616856999339326,0.2508543350783259,0.00020582303109306643,0.000648524749065571,-5.823564184168073e-05,1
batter_side,logit,500,0.24993144978338586,0.0008614901112788686,0.2508556758927714,0.00020698662511780172,0.0006498655635110984,-5.80737533316944e-05,1
batter_side,logit,300,0.24993224040817327,0.0008617658916710659,0.250857016032093,0.00020777724990521848,0.000651205702832669,-5.8008267289300086e-05,1
batter_side,prob,500,0.24993225646209596,0.0008623751651772528,0.2508576786167769,0.00020779330382792818,0.000651868287516566,-5.8074636595878415e-05,1
batter_side,logit,100,0.24993303505605313,0.0008620421054067112,0.2508583614490667,0.00020857189778509624,0.0006525511198063882,-5.794206188369788e-05,1
batter_side,prob,300,0.24993305160072218,0.0008626516999319601,0.2508590252514234,0.00020858844245415695,0.0006532149221630812,-5.800898817820421e-05,1
batter_side,logit,50,0.2499332343497492,0.0008621112267302353,0.2508586986314819,0.00020877119148117,0.0006528883022215992,-5.792539743759706e-05,1
batter_side,prob,100,0.24993385079620356,0.0008629286646884979,0.2508603771995182,0.0002093876379355338,0.0006545668702578888,-5.794261876429507e-05,1
batter_side,prob,50,0.24993405123211146,0.0008629979732397768,0.2508607160203384,0.0002095880738434234,0.0006549056910780671,-5.792591305908701e-05,1
game_type,prob,100,0.24993750446324126,0.005320963726417973,0.255393191388703,0.00021304130497321974,0.005187381059442664,-0.004359183476683209,2
game_type,logit,100,0.24994036722970156,0.005324778404678167,0.255401191671417,0.00021590407143349624,0.005195381342156691,-0.004358592646454801,2
game_type,prob,50,0.24994221232591943,0.005327934373942674,0.2554070147695089,0.00021774916765139132,0.005201204440248575,-0.0043589455758910045,2
game_type,logit,50,0.24994454184736933,0.005331054801221037,0.2554135410155547,0.00022007868910128847,0.005207730686294376,-0.004358478623577716,2
month,logit,3000,0.25003021512397366,0.0008910248071746659,0.2509974175934595,0.0003057519657056011,0.00079160726419919,4.415125402612574e-06,0
month,prob,3000,0.25003098085310427,0.0008917814480436918,0.2509991702685862,0.00030651769483623176,0.0007933599393258883,4.549690395705408e-06,0
month,logit,1000,0.25008070455182324,0.0008770538445931622,0.2510480700046358,0.00035624139355520484,0.0008422596753754896,1.0559495911222072e-05,0
month,prob,1000,0.250081873587281,0.000877625583456988,0.2510501298377649,0.0003574104290129665,0.0008443195085046096,1.0723977238696891e-05,0
month,logit,500,0.25009560131036485,0.0008720949668676757,0.2510617832971586,0.0003711381520967727,0.0008559729678982997,1.2280716186113816e-05,0
month,prob,500,0.2500969102640245,0.0008725890483532751,0.2510639295956303,0.0003724471057564571,0.0008581192663699722,1.2453825678604424e-05,0
month,logit,300,0.2501018711505643,0.0008699115108950799,0.2510674007008014,0.00037740799229629696,0.0008615903715410989,1.299199993309852e-05,0
month,prob,300,0.25010324213240404,0.0008703696895600288,0.2510695827775059,0.00037877897413599965,0.0008637724482455922,1.3168706147814735e-05,0
month,logit,100,0.25010833233938456,0.0008676059297931205,0.2510730969888223,0.00038386918111652885,0.0008672866595619833,1.3716740151298312e-05,0
month,prob,100,0.25010976925835077,0.0008680251144988803,0.2510753155466819,0.00038530610008269406,0.0008695052174215734,1.3897129789303131e-05,0
month,logit,50,0.2501099786855645,0.0008670098076868482,0.2510745336749721,0.0003855155272964779,0.0008687233457118082,1.3900062459715201e-05,0
month,prob,50,0.25011143273877834,0.000867418733229141,0.251076761464668,0.0003869695805102935,0.0008709511354076938,1.4081386791597872e-05,0
