method,group_name,space,lambda,mean_brier,std_brier,max_brier,mean_logloss,mean_pred,mean_pred_std,mean_actual,mean_bias,folds
current_best_plus_count_state,count_state,logit,100.0,0.24985186804360712,0.000834968950736821,0.2507540824873339,0.6928525817897074,0.5188589942316902,0.011309673069996916,0.5049941994007161,0.0138647948309741,3
current_best_plus_count_state,count_state,prob,100.0,0.24985270453884764,0.0008358590163242004,0.250756103728452,0.6928542758416,0.5188809530023902,0.011338575557867325,0.5049941994007161,0.01388675360167411,3
current_best_plus_count_state,count_state,logit,50.0,0.24985275530049425,0.0008350706496808239,0.2507553436319504,0.6928543672728158,0.5188703855728253,0.011329740667648502,0.5049941994007161,0.013876186172109136,3
current_best_plus_count_state,count_state,prob,50.0,0.24985359888050618,0.0008359608838577944,0.25075737294289563,0.6928560756509053,0.5188924202245772,0.011358803942656814,0.5049941994007161,0.013898220823861088,3
current_best_plus_balls,balls,logit,3000.0,0.2498542584467812,0.0008298622671770179,0.250742221640963,0.6928571940887668,0.5186625359563898,0.010202010500404217,0.5049941994007161,0.01366833655567364,3
current_best_plus_balls,balls,prob,3000.0,0.24985497693946176,0.0008307209672840061,0.25074408562744505,0.6928586487210661,0.5186835844072268,0.01022703146114682,0.5049941994007161,0.013689385006510716,3
current_best_plus_game_type,game_type,prob,1000.0,0.2498581237190417,0.0051984164086019205,0.2551545936808537,0.6930613512140011,0.5182809617825742,0.04359402673685256,0.5049941994007161,0.013286762381858164,3
current_best_plus_balls,balls,logit,1000.0,0.2498646125544862,0.0008315397663243716,0.25075782150065024,0.6928780209396687,0.5188060251552519,0.010479814618414886,0.5049941994007161,0.01381182575453573,3
current_best_plus_balls,balls,prob,1000.0,0.24986540911563407,0.0008324061411996494,0.2507597831041707,0.6928796332855508,0.5188279947821127,0.010506798445964588,0.5049941994007161,0.013833795381396693,3
current_best_plus_balls,balls,logit,500.0,0.2498674266929208,0.0008318834787490458,0.2507618332566406,0.6928836823200372,0.5188411497747358,0.01055755369428227,0.5049941994007161,0.013846950374019729,3
