candidate_name,calibration_mode,valid_year,pitcher_sample_bucket,n,actual_rate,brier,auc,prediction_std
A_GLOBAL_PITCHER,native,2023,50_300,10606,0.47180841033377335,0.25841639472879974,0.5069902485722954,0.05170992806538898
A_GLOBAL_PITCHER,native,2023,300_1000,23993,0.4633434751802609,0.25908068106109106,0.5106096937309154,0.06128472333172524
A_GLOBAL_PITCHER,native,2023,1000_plus,175670,0.507377469118233,0.25021974484566867,0.5311581100719459,0.04399071870795387
A_GLOBAL_PITCHER,platt,2023,lt50,35256,0.49636941229861586,0.2509526939081545,0.4969285682103433,0.004350895450717039
A_GLOBAL_PITCHER,platt,2023,50_300,10606,0.47180841033377335,0.2560179062672191,0.5069902485722954,0.03993165978058763
A_GLOBAL_PITCHER,platt,2023,300_1000,23993,0.4633434751802609,0.25650563910308166,0.5106096937309154,0.04741077536432862
A_GLOBAL_PITCHER,platt,2023,1000_plus,175670,0.507377469118233,0.24979489585858222,0.5311581100719459,0.03393025991150284
A_GLOBAL_PITCHER,v2_strength,2023,lt50,35256,0.49636941229861586,0.25087340968447636,0.4969285682103433,0.0018975352671211797
A_GLOBAL_PITCHER,v2_strength,2023,50_300,10606,0.47180841033377335,0.2528352996880067,0.5069785299928569,0.013755778198467272
A_GLOBAL_PITCHER,v2_strength,2023,300_1000,23993,0.4633434751802609,0.2530599758018875,0.5097986871711022,0.015189938629962934
A_GLOBAL_PITCHER,v2_strength,2023,1000_plus,175670,0.507377469118233,0.24979584160509571,0.5310345606754603,0.012390910223710335
B_PITCHER_COUNT,native,2023,lt50,35256,0.49636941229861586,0.2511767386475292,0.49708656872525975,0.005902677730652882
B_PITCHER_COUNT,native,2023,50_300,10606,0.47180841033377335,0.2587510844178224,0.5074817511217731,0.0537159652604428
B_PITCHER_COUNT,native,2023,300_1000,23993,0.4633434751802609,0.25940750402417223,0.5105006555286183,0.06351077014493714
B_PITCHER_COUNT,native,2023,1000_plus,175670,0.507377469118233,0.25031366345159417,0.5327120057036999,0.04712712992775435
B_PITCHER_COUNT,platt,2023,lt50,35256,0.49636941229861586,0.2509217031552709,0.49708656872525975,0.004289919858002348
B_PITCHER_COUNT,platt,2023,50_300,10606,0.47180841033377335,0.2557973517911441,0.5074817511217731,0.0392484741983219
B_PITCHER_COUNT,platt,2023,300_1000,23993,0.4633434751802609,0.2562548024027587,0.5105006555286183,0.046500973751053304
B_PITCHER_COUNT,platt,2023,1000_plus,175670,0.507377469118233,0.24974620761461375,0.5327120057036999,0.03438335294349352
B_PITCHER_COUNT,v2_strength,2023,lt50,35256,0.49636941229861586,0.2508671564164893,0.49708657516171584,0.0018659214888332503
B_PITCHER_COUNT,v2_strength,2023,50_300,10606,0.47180841033377335,0.25281904668483923,0.5075225253570795,0.013635726980746669
B_PITCHER_COUNT,v2_strength,2023,300_1000,23993,0.4633434751802609,0.25303191400669994,0.5094619143559411,0.015058418546968221
B_PITCHER_COUNT,v2_strength,2023,1000_plus,175670,0.507377469118233,0.24976853520114506,0.5327316980986749,0.012460243524293355
C_PITCHER_GAME,native,2023,lt50,35256,0.49636941229861586,0.2511845370317831,0.4969313439320309,0.006569908595363778
C_PITCHER_GAME,native,2023,50_300,10606,0.47180841033377335,0.2594363786772955,0.5081087575494763,0.06770351950866156
C_PITCHER_GAME,native,2023,300_1000,23993,0.4633434751802609,0.2596748699399526,0.5093788607508664,0.07934302766911289
C_PITCHER_GAME,native,2023,1000_plus,175670,0.507377469118233,0.2508220424388521,0.5291427791285952,0.05009151066724823
C_PITCHER_GAME,platt,2023,lt50,35256,0.49636941229861586,0.25102989936451575,0.4969313439320309,0.0059746860551959284
C_PITCHER_GAME,platt,2023,50_300,10606,0.47180841033377335,0.2580630181133087,0.5081087575494763,0.0616786793192357
C_PITCHER_GAME,platt,2023,300_1000,23993,0.4633434751802609,0.25826633651805797,0.5093788607508664,0.07239600805098469
C_PITCHER_GAME,platt,2023,1000_plus,175670,0.507377469118233,0.2504941676301231,0.5291427791285952,0.04563349539245736
C_PITCHER_GAME,v2_strength,2023,lt50,35256,0.49636941229861586,0.25091872662251896,0.49693089498921883,0.0023469277512535255
C_PITCHER_GAME,v2_strength,2023,50_300,10606,0.47180841033377335,0.2528278286352426,0.5110370289987218,0.01623794602382807
C_PITCHER_GAME,v2_strength,2023,300_1000,23993,0.4633434751802609,0.2527498157350146,0.5075126958108289,0.016080407407517948
C_PITCHER_GAME,v2_strength,2023,1000_plus,175670,0.507377469118233,0.24980024496817377,0.5290171426248897,0.014002586331270777
D_PITCHER_BATTER_HAND,native,2023,lt50,35256,0.49636941229861586,0.2512002048364915,0.496932533067293,0.00653426568552798
D_PITCHER_BATTER_HAND,native,2023,50_300,10606,0.47180841033377335,0.25968662236228696,0.5087821210364805,0.05944450006555903
D_PITCHER_BATTER_HAND,native,2023,300_1000,23993,0.4633434751802609,0.2596465316380552,0.5145732233025537,0.0682455637788384
D_PITCHER_BATTER_HAND,native,2023,1000_plus,175670,0.507377469118233,0.2500502090769703,0.5359490685521809,0.048567264388324934
D_PITCHER_BATTER_HAND,platt,2023,lt50,35256,0.49636941229861586,0.25095128231073377,0.496932533067293,0.004675544016197062
D_PITCHER_BATTER_HAND,platt,2023,50_300,10606,0.47180841033377335,0.2562578137087717,0.5087821210364805,0.04281675344961364
D_PITCHER_BATTER_HAND,platt,2023,300_1000,23993,0.4633434751802609,0.25624445300936016,0.5145732233025537,0.04926596208776563
D_PITCHER_BATTER_HAND,platt,2023,1000_plus,175670,0.507377469118233,0.24954008560631735,0.5359490685521809,0.03488709715672657
D_PITCHER_BATTER_HAND,v2_strength,2023,lt50,35256,0.49636941229861586,0.2508840130136831,0.49693230940044403,0.002005251117938022
D_PITCHER_BATTER_HAND,v2_strength,2023,50_300,10606,0.47180841033377335,0.25288374965394494,0.5095953048343189,0.01381767337709072
D_PITCHER_BATTER_HAND,v2_strength,2023,300_1000,23993,0.4633434751802609,0.2529968561188363,0.5128670842198275,0.014902201160718396
D_PITCHER_BATTER_HAND,v2_strength,2023,1000_plus,175670,0.507377469118233,0.24969641876068469,0.5360760048225376,0.012372004915984308
E_MULTI_CONTEXT,native,2023,lt50,35256,0.49636941229861586,0.25114226126566297,0.49693087889807863,0.005282590069247568
E_MULTI_CONTEXT,native,2023,50_300,10606,0.47180841033377335,0.25491835946404423,0.5063108563488374,0.03850395686410934
E_MULTI_CONTEXT,native,2023,300_1000,23993,0.4633434751802609,0.25425234165349914,0.5097022098790903,0.03956655812133162
E_MULTI_CONTEXT,native,2023,1000_plus,175670,0.507377469118233,0.24972350861232745,0.5313518515348503,0.03512027327945752
E_MULTI_CONTEXT,platt,2023,lt50,35256,0.49636941229861586,0.2516668340963609,0.49693087889807863,0.006488603449858066
E_MULTI_CONTEXT,platt,2023,50_300,10606,0.47180841033377335,0.25702327776585937,0.5063108563488374,0.047352106236621366
E_MULTI_CONTEXT,platt,2023,300_1000,23993,0.4633434751802609,0.25598715052936427,0.5097022098790903,0.048656330665742535
E_MULTI_CONTEXT,platt,2023,1000_plus,175670,0.507377469118233,0.25024649621554085,0.5313518515348503,0.043199250928732065
E_MULTI_CONTEXT,v2_strength,2023,lt50,35256,0.49636941229861586,0.250988957552553,0.49693089820744685,0.00268042263185799
E_MULTI_CONTEXT,v2_strength,2023,50_300,10606,0.47180841033377335,0.25303973237763894,0.5064152355373822,0.01647281740418833
E_MULTI_CONTEXT,v2_strength,2023,300_1000,23993,0.4633434751802609,0.252975159053642,0.5092400340494282,0.017047813547436848
E_MULTI_CONTEXT,v2_strength,2023,1000_plus,175670,0.507377469118233,0.24977156148020008,0.5305934251506654,0.015710072451801844
F_PITCHER_COUNT_PLUS_CATBOOST,native,2023,lt50,35256,0.49636941229861586,0.25168464625589265,0.4918290091075853,0.01251431837909643
F_PITCHER_COUNT_PLUS_CATBOOST,native,2023,50_300,10606,0.47180841033377335,0.2621883118789234,0.5111649702016323,0.06774536754936378
F_PITCHER_COUNT_PLUS_CATBOOST,native,2023,300_1000,23993,0.4633434751802609,0.2635758403422962,0.5107854312051519,0.08551761171535298
F_PITCHER_COUNT_PLUS_CATBOOST,native,2023,1000_plus,175670,0.507377469118233,0.25166139570989765,0.531895834377581,0.06775042181698457
F_PITCHER_COUNT_PLUS_CATBOOST,platt,2023,lt50,35256,0.49636941229861586,0.25124881166874063,0.4918290091075853,0.009090324764674463
F_PITCHER_COUNT_PLUS_CATBOOST,platt,2023,50_300,10606,0.47180841033377335,0.2578408307640227,0.5111649702016323,0.04991736481209778
F_PITCHER_COUNT_PLUS_CATBOOST,platt,2023,300_1000,23993,0.4633434751802609,0.2586728795464275,0.5107854312051519,0.06313493186351009
F_PITCHER_COUNT_PLUS_CATBOOST,platt,2023,1000_plus,175670,0.507377469118233,0.2502883625830675,0.531895834377581,0.049670022888564924
F_PITCHER_COUNT_PLUS_CATBOOST,v2_strength,2023,lt50,35256,0.49636941229861586,0.25094918032440167,0.49182922151063624,0.003873565023254923
F_PITCHER_COUNT_PLUS_CATBOOST,v2_strength,2023,50_300,10606,0.47180841033377335,0.25283455105521346,0.5128601866810729,0.014703071909807316
