strategy,parameter,cap_type,cap_value,mean_brier,worst_brier,mean_pseudo_score,positive_fold_count,mean_skill_margin,worst_skill_margin,mean_pred_std,mean_auc,brier_2022,brier_2023,brier_2024,pseudo_2022,pseudo_2023,pseudo_2024,skill_2022,skill_2023,skill_2024,pred_std_2024,ready_like,selection_note
shrink,0.475,soft_cap,0.0125,0.24981854621026514,0.2506017012277183,15.582897603450315,2,-0.00016170191885803153,-0.000601703056606534,0.0073919060881732545,0.5195480238223708,0.24909227604583242,0.2506017012277183,0.24976166135724479,28.628538925561656,0.0,18.120153884789293,7.133190048924654e-05,-0.000601703056606534,4.5265399543192864e-05,0.0047657144422026615,True,
temperature,2.2,hard_cap,0.0125,0.24981057493964243,0.2505990814646469,18.431671363365016,2,-0.0001537306482353081,-0.0005990832935351131,0.008067136096019195,0.5187324563436807,0.24907087573587777,0.2505990814646469,0.24976176761840269,37.21739751973501,0.0,18.077616570360046,9.273221044389657e-05,-0.0005990832935351131,4.5159138385292286e-05,0.005240377327775948,True,
temperature,2.2,soft_cap,0.01,0.24984243779103119,0.2506183045008026,8.215510206727759,2,-0.0001855934996240575,-0.0006183063296908153,0.006326760527766085,0.5195480238223708,0.24914698853569844,0.2506183045008026,0.24976202033659256,6.670079455104755,0.0,17.976451165078522,1.661941062322536e-05,-0.0006183063296908153,4.490642019541746e-05,0.004269626242641111,True,
shrink,0.45,hard_cap,0.0125,0.24981171612774386,0.2506016276581681,18.31448814762678,2,-0.00015487183633670446,-0.0006016294870563599,0.008037791026544805,0.518739813574166,0.24907119510633,0.2506016276581681,0.2497623256187334,37.08922051392929,0.0,17.854243928951043,9.241283999167349e-05,-0.0006016294870563599,4.4601138054573e-05,0.0052041940100725735,True,
shrink,0.45,soft_cap,0.01,0.24984340860587873,0.2506204210877684,8.1091567349057,2,-0.0001865643144715786,-0.0006204229166566211,0.00630340373398339,0.5195480238223708,0.2491474445702437,0.2506204210877684,0.24976236015962405,6.487053310546931,0.0,17.84041689417017,1.6163376077960034e-05,-0.0006204229166566211,4.45665971639253e-05,0.004242850920485581,True,
temperature,2.2,soft_cap,0.0125,0.24981925616035264,0.25059908455978935,14.9483784597291,2,-0.00016241186894550008,-0.0005990863886775888,0.007263527656961165,0.5195480238223708,0.24909564568911108,0.25059908455978935,0.24976303823215748,27.276157128545147,0.0,17.568978250642147,6.79622572105909e-05,-0.0005990863886775888,4.388852463049764e-05,0.004629616659708708,True,
temperature,2.1,soft_cap,0.015,0.2497989386833591,0.2505855023515505,21.285617633127103,2,-0.00014209439195194315,-0.0005855041804387617,0.008225728684751995,0.5195480238223708,0.24904825272538722,0.2505855023515505,0.2497630609731395,46.29697807205468,0.0,17.559874827326627,0.00011535522093444883,-0.0005855041804387617,4.386578364848348e-05,0.005058195628635114,True,
shrink,0.475,soft_cap,0.015,0.2497999778965515,0.2505881683018193,21.22522609605336,2,-0.00014313360514437803,-0.0005881701307075271,0.008213541338061271,0.5195480238223708,0.2490486003047764,0.2505881683018193,0.24976316508305885,46.157479614775134,0.0,17.518198673384937,0.00011500764154526166,-0.0005881701307075271,4.376167372913131e-05,0.005047737994234647,True,
shrink,0.45,soft_cap,0.0125,0.24982046059697138,0.2506015267811687,14.79182845470679,2,-0.0001636163055642459,-0.0006015286100569395,0.007231711752394868,0.5195480238223708,0.24909647057828924,0.2506015267811687,0.2497633844314562,26.94509386254209,0.0,17.43039150157828,6.713736803243275e-05,-0.0006015286100569395,4.354232533176905e-05,0.004597258264662972,True,
temperature,2.3,soft_cap,0.01,0.24984362876326327,0.25061817214272364,7.720295329985402,2,-0.00018678447185612365,-0.0006181739716118739,0.0062264078357161905,0.5195480238223708,0.24914930016187462,0.25061817214272364,0.24976341398519153,5.742325119219029,0.0,17.418560870737178,1.430778444705405e-05,-0.0006181739716118739,4.351277159644895e-05,0.004155282828901753,True,
