valid_year,base_model,calibration,target_rate_estimator,mean_matching,strategy,parameter,cap_type,cap_value,target_rate,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.02,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24977365072442678,3.3276032361195806e-05,13.320700427812136,0.5106874611146365,0.692694277479574,0.48773026682865417,0.005861749661253656
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.02,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24898957110093486,0.00017403684538680464,69.84842081123585,0.5324856858143385,0.6911250538317862,0.5115783149909018,0.009725128815513906
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.02,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.250570624139649,-0.0005706259685372139,0.0,0.5154708686332126,0.6942918795388919,0.5272562495683395,0.01297035002629068
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.02,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2497670767685826,3.98499882053871e-05,15.952315143040467,0.5106875170195614,0.6926811462271055,0.4876211472808128,0.00523449321971883
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.025,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24887700897756865,0.00028659896875302127,115.02440950957993,0.5324313366684892,0.6908992484743809,0.5115342484431938,0.012192167051296157
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.025,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25057026032894764,-0.0005702621578358713,0.0,0.5153094749628198,0.6942927174018546,0.5271019713191112,0.016742425491017402
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.025,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24977428255010936,3.2644206678617005e-05,13.06777482211268,0.5106875133133296,0.6926955413252429,0.48774163876826204,0.0059045210736402625
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.025,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2489459835148264,0.0002176244314952558,87.34198115406144,0.5324856858143385,0.6910376501767895,0.5115573922202717,0.010533711835374895
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.025,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505683133603028,-0.0005683151891910099,0.0,0.5154708686332126,0.69428807891225,0.5272108493294854,0.014782494703159944
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.025,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976897320268565,3.7953554102326814e-05,15.193155207933202,0.5106875170195614,0.6926849335944826,0.48765555212869066,0.0054356542133545
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.03,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2488442210303677,0.0003193869159539564,128.18361340423488,0.5324759957385954,0.69083338970556,0.5114977156246213,0.012673668290717505
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.03,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505791220763338,-0.0005791239052220509,0.0,0.5154456020738681,0.6943116475437181,0.5270338821607025,0.018572970733306056
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.03,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24977427731143062,3.264944535735781e-05,13.069871913177696,0.5106875170195614,0.6926955308378796,0.4877420557045226,0.005906370325472142
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.03,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2489155780071344,0.00024802993918726646,99.5450102972905,0.5324856858143385,0.6909766492716687,0.5115407455972268,0.01110055775853504
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.03,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505738578237805,-0.0005738596526687345,0.0,0.5154708686332126,0.6943000654049578,0.5271909591057403,0.01626426922399824
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.03,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24977027625535747,3.665050143050741e-05,14.671531292721253,0.5106875170195614,0.6926875364788505,0.4876779086309574,0.005561181744691422
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24881165434513322,0.0003519536011884483,141.25401541956765,0.5324856858143385,0.6907678271363626,0.5114727049981268,0.013102204895517553
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,no_cap,,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2508010732720453,-0.0008010751009335515,0.0,0.5154708686332126,0.6947728891636092,0.5276733290608981,0.025626019846027987
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,no_cap,,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24977427731143062,3.264944535735781e-05,13.069871913177696,0.5106875170195614,0.6926955308378796,0.4877420557045226,0.005906370325472142
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.005,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24927893160281983,-0.0001153236564981619,0.0,0.5270704723311201,0.6917046118016696,0.5116404959990695,0.004345568886132173
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.005,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2506786050366966,-0.0006786068655848243,0.0,0.5127280739096121,0.6945064577019477,0.5276127970096668,0.0046042989702255194
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.005,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976221869464157,4.470806214640355e-05,17.89704662190225,0.5107509449721902,0.6926714894513855,0.48739234467741416,0.00339655866577991
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.005,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24928228051859522,-0.00011867257227354822,0.0,0.5324856858143385,0.6917113203464396,0.5116144980621923,0.004080012751171444
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.005,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.250677806215398,-0.0006778080442862155,0.0,0.515470061765885,0.6945048393627028,0.5276023519153625,0.00443325747403148
