candidate_id,candidate_type,auc_2023,high_minus_low_actual_rate_2023,skill_2023,pseudo_2023,pred_std_2023,delta_vs_v2_skill_2023
blend2__A_v2_base__0.1__B_tuned_base__0.9,two_model_blend,0.5145925325343452,0.02114245020106753,-0.0005868504284987919,0.0,0.014446702475483133,-1.882024861460385e-05
blend2__B_tuned_base__0.8__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.2,two_model_blend,0.5148572242331633,0.02154974070102339,-0.000581406012498481,0.0,0.014451567801672238,-1.3375832614292982e-05
blend2__A_v2_base__0.5__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.5,two_model_blend,0.5153238466235516,0.02225028036094745,-0.0005706074541192152,0.0,0.014360281942227833,-2.5772742350271827e-06
blend2__B_tuned_base__0.7__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.3,two_model_blend,0.5150014175955592,0.022005906060973968,-0.000577707980442016,0.0,0.014446344436002113,-9.677800557827965e-06
blend2__A_v2_base__0.2__B_tuned_base__0.8,two_model_blend,0.514668080132693,0.021109866961071144,-0.000584726611458114,0.0,0.014431430326979047,-1.6696431573925974e-05
blend2__B_tuned_base__0.6__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.4,two_model_blend,0.5151460786556821,0.022168822260956345,-0.000573984159000035,0.0,0.014440695106665529,-5.953979115846941e-06
blend3__A_v2_base__0.34__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.33__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.33,three_model_blend_limited,0.5155743951192209,0.023064861360859112,-0.0005640162352539557,0.0,0.014376125136433382,4.013944630232302e-06
blend2__A_v2_base__0.3__B_tuned_base__0.7,two_model_blend,0.5147511399909972,0.021191325061062305,-0.000582675858139009,0.0,0.014415476227166525,-1.4645678254820993e-05
blend2__B_tuned_base__0.5__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.5,two_model_blend,0.5152942061930197,0.022315446840940445,-0.0005702404332792177,0.0,0.014434604081197178,-2.210253395029671e-06
blend2__A_v2_base__0.6__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.4,two_model_blend,0.5153379598345924,0.022152530640958068,-0.0005700239678183283,0.0,0.014346081016471618,-1.9937879341402898e-06
blend3__A_v2_base__0.40__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.30__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.30,three_model_blend_limited,0.515553921623855,0.023292944040834485,-0.0005643093036334645,0.0,0.014368246990904937,3.7208762507234816e-06
blend2__B_tuned_base__0.4__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.6,two_model_blend,0.5154419321214346,0.022510946280919153,-0.0005665987721140964,0.0,0.014428136981581935,1.4314077700916528e-06
blend2__A_v2_base__0.4__B_tuned_base__0.6,two_model_blend,0.5148501660351416,0.021175033441063973,-0.0005806318563736645,0.0,0.014398701659503804,-1.2601676489476521e-05
blend2__B_tuned_base__0.3__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.7,two_model_blend,0.5156146644674706,0.02288565354087857,-0.0005629469936888898,0.0,0.01442149423244717,5.083186195298239e-06
blend3__A_v2_base__0.50__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.25__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.25,three_model_blend_limited,0.5155087912980815,0.022592404380910425,-0.0005648498377375522,0.0,0.014354883897543793,3.1803421466358728e-06
blend2__A_v2_base__0.7__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.3,two_model_blend,0.5153602503075927,0.022233988740949284,-0.0005695031268963258,0.0,0.014331425382361297,-1.4729470121377375e-06
blend2__A_v2_base__0.5__B_tuned_base__0.5,two_model_blend,0.5148973092162098,0.021386824501041013,-0.0005785617713538194,0.0,0.01438118174876944,-1.053159146963134e-05
blend2__B_tuned_base__0.2__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.8,two_model_blend,0.5157446339399848,0.02267386248090153,-0.0005593459329325812,0.0,0.014412338098895123,8.684246951606855e-06
blend2__B_tuned_base__0.1__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.9,two_model_blend,0.5158949625131881,0.022999694880866173,-0.0005558418299335954,0.0,0.014405358837890698,1.2188349950592592e-05
