candidate_id,candidate_type,valid_year,weights,raw_prediction_std,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,prediction_std,prediction_mean
blend2__A_v2_base__0.6__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.4,two_model_blend,2022,A_v2_base:0.600;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.400,0.05688984544920604,0.5289204435249241,0.24916360794632167,0.2489342042123136,0.00022940373400806569,92.06951845772238,0.5324671949849873,0.6910140295314897,0.01106393800719847,0.5115833016963756
blend2__A_v2_base__0.6__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.4,two_model_blend,2023,A_v2_base:0.600;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.400,0.06187942982908991,0.49995723449750534,0.24999999817111176,0.25056096932281413,-0.0005609711517023663,0.0,0.5156826191191295,0.6942729394572525,0.014334566417833317,0.527199511208682
blend2__A_v2_base__0.6__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.4,two_model_blend,2024,A_v2_base:0.600;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.400,0.06531082722752572,0.4861049201797189,0.24980692675678798,0.24977224924266037,3.467751412761233e-05,13.881726410802996,0.5107276164231749,0.6926914797603856,0.005645825510005732,0.4877352443993284
blend2__A_v2_base__0.7__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.3,two_model_blend,2022,A_v2_base:0.700;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.300,0.05688575192273804,0.5289204435249241,0.24916360794632167,0.24893553157192805,0.00022807637439362094,91.53679234037917,0.532426713477842,0.6910166902534826,0.011048736844302028,0.5115796678307769
blend2__A_v2_base__0.7__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.3,two_model_blend,2023,A_v2_base:0.700;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.300,0.06192015128824377,0.49995723449750534,0.24999999817111176,0.2505626198524674,-0.0005626216813556517,0.0,0.5155774955533754,0.6942762398891001,0.014322285024074148,0.527197178544176
blend2__A_v2_base__0.7__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.3,two_model_blend,2024,A_v2_base:0.700;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.300,0.0653896472239068,0.4861049201797189,0.24980692675678798,0.24977267153417965,3.425522260833147e-05,13.71267924915563,0.5107210314770531,0.6926923252479348,0.005641004999400213,0.48773528216594686
blend2__A_v2_base__0.8__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.2,two_model_blend,2022,A_v2_base:0.800;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.200,0.056895620609392995,0.5289204435249241,0.24916360794632167,0.24893703184615526,0.00022657610016640906,90.93466820211613,0.5323861530683826,0.6910196970370631,0.011031723309395823,0.5115758328032493
blend2__A_v2_base__0.8__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.2,two_model_blend,2023,A_v2_base:0.800;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.200,0.06197163973920152,0.49995723449750534,0.24999999817111176,0.25056429658485857,-0.0005642984137468054,0.0,0.5155206796189143,0.6942795929194432,0.014309961875323395,0.5271946129936426
blend2__A_v2_base__0.8__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.2,two_model_blend,2024,A_v2_base:0.800;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.200,0.06547764662289335,0.4861049201797189,0.24980692675678798,0.24977310198678582,3.3824770002161e-05,13.540365129703867,0.5107114115631182,0.6926931870835236,0.005635694873968064,0.4877353269362292
blend2__A_v2_base__0.9__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.1,two_model_blend,2022,A_v2_base:0.900;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.100,0.05691944424687069,0.5289204435249241,0.24916360794632167,0.2489387142389092,0.00022489370741246573,90.2594521190733,0.5323381750877809,0.6910230683431782,0.011012926951785827,0.511571840766744
