ensemble_norm,stage,weights_norm,mean_brier,std_brier,worst_brier,folds_improved,mean_improvement,mean_logloss,mean_auc,mean_pred_std
"{'catboost': 0.3, 'lightgbm': 0.2, 'sklearn_hgb': 0.5}",platt_avg_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.2, 'sklearn_hgb': 0.5}",0.2496912797806099,0.0005744203453276245,0.2501747610165774,3,3.318337765808218e-05,0.6925299219971439,0.5155552155061577,0.007056388954533633
"{'lightgbm': 0.2, 'sklearn_hgb': 0.4, 'xgboost': 0.4}",platt_avg_plus_trend_w075,"{'lightgbm': 0.2, 'sklearn_hgb': 0.4, 'xgboost': 0.4}",0.2496915023503614,0.0005792906864297818,0.2501821557742478,3,3.2960807906647536e-05,0.6925303655205758,0.515658887827406,0.007036663656350833
"{'lightgbm': 0.3, 'sklearn_hgb': 0.1, 'xgboost': 0.6}",raw_avg_plus_trend_w075,"{'lightgbm': 0.3, 'sklearn_hgb': 0.1, 'xgboost': 0.6}",0.2496915063535888,0.0008612924889366265,0.2502751061815846,1,3.2956804679251e-05,0.6925306299715251,0.5163639870613516,0.015350508389495233
"{'catboost': 0.2, 'lightgbm': 0.7, 'xgboost': 0.1}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.2, 'lightgbm': 0.7, 'xgboost': 0.1}",0.24969153763342752,0.0005470889322818821,0.2501492564623548,3,3.292552484048435e-05,0.6925304632319623,0.5151458435333197,0.007164159717948734
"{'lightgbm': 0.4, 'xgboost': 0.6}",raw_avg_plus_trend_w075,"{'lightgbm': 0.4, 'xgboost': 0.6}",0.24969159587710155,0.0008545116283118453,0.2502706492429575,1,3.28672811664865e-05,0.6925308194957661,0.5164022770809454,0.015359456752023534
"{'lightgbm': 0.4, 'sklearn_hgb': 0.2, 'xgboost': 0.4}",raw_avg_then_platt_plus_trend_w075,"{'lightgbm': 0.4, 'sklearn_hgb': 0.2, 'xgboost': 0.4}",0.24969162475715442,0.000567268130605983,0.2501706778033419,3,3.2838401113612546e-05,0.6925306341516578,0.5153163068181553,0.0071735505021489334
"{'lightgbm': 0.2, 'sklearn_hgb': 0.2, 'xgboost': 0.6}",raw_avg_plus_trend_w075,"{'lightgbm': 0.2, 'sklearn_hgb': 0.2, 'xgboost': 0.6}",0.2496918281402154,0.0008678492723820693,0.250279860102354,1,3.26350180526598e-05,0.6925312645864219,0.5163096889230209,0.015354365208600099
"{'catboost': 0.1, 'sklearn_hgb': 0.6, 'xgboost': 0.3}",platt_avg_plus_trend_w075,"{'catboost': 0.1, 'sklearn_hgb': 0.6, 'xgboost': 0.3}",0.24969184721841828,0.0005884580062845818,0.2501910830243136,3,3.2615939849757934e-05,0.6925310563145736,0.5156382421056291,0.007070168335738034
"{'catboost': 0.3, 'lightgbm': 0.4, 'sklearn_hgb': 0.3}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.4, 'sklearn_hgb': 0.3}",0.24969210513035142,0.0005620601188759799,0.2501642651390457,3,3.2358027916623566e-05,0.6925316050946333,0.5151137788561262,0.0072210431024665
"{'catboost': 0.1, 'sklearn_hgb': 0.4, 'xgboost': 0.5}",raw_avg_plus_trend_w075,"{'catboost': 0.1, 'sklearn_hgb': 0.4, 'xgboost': 0.5}",0.24969236606504408,0.0008836917638975935,0.2502872276280035,1,3.209709322394353e-05,0.6925323222271103,0.5162839095049877,0.0154163737099509
